Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,Latitude,Longitude,lat,lon,year,month
"Shenzhen - AVIC China Southern Airlines Building, China","No.7 Langshan Road, Nanshan District, Shenzhen, Guangdong",Shenzhen,Guangdong,,China,9,250.0,"22.55534511, 113.9509052",25,2022-09-22,22.55534511,113.9509052,22.55534511,113.9509052,2022,9
"Jinhua - Diyicheng Shopping Center, China","B2, Emperor One City, No. 188, Wujiang East Road, Wucheng District, Jinhua City, Zhejiang",Jinhua,Zhejiang,,China,6,250.0,"29.09872, 119.6546",36,2022-09-22,29.09872,119.6546,29.09872,119.6546,2022,9
"Tongren - Jiuyicheng, China","No. 256, Jinlin Avenue, Wanshan District, Tongren City, Guizhou",Tongren,Guizhou,,China,6,250.0,"27.68995369, 109.1764166",273,2022-09-22,27.68995369,109.1764166,27.68995369,109.1764166,2022,9
"Mudanjiang - Moonstar Home, China","No. 66 Guanghua Street, Yangming District, Mudanjiang City, Heilongjiang",Mudanjiang,Heilongjiang,,China,4,150.0,"44.59647026, 129.6370696",232,2022-09-22,44.59647026,129.6370696,44.59647026,129.6370696,2022,9
"Yangquan - Shanxi Yangquan Hotel, China","Yangquan Hotel, No. 107 North Street, Chengcheng District, Yangquan City, Shanxi",Yangquan,Shanxi,,China,4,150.0,"37.86828781, 113.5713693",685,2022-09-22,37.86828781,113.5713693,37.86828781,113.5713693,2022,9
"Shuozhou - Meiduhui Shopping Plaza, China","B3, Shuozhou Meiduhui Shopping Plaza, Minfu East Street, Shuocheng District, Shuozhou",Shuozhou,Shanxi,,China,3,250.0,"39.34109286, 112.4388834",1091,2022-09-22,39.34109286,112.4388834,39.34109286,112.4388834,2022,9
"Xiamen - Wyndham Grand Plaza Royal, China","B2 Floor, Wyndham Hotel, No. 882, Zhongzhai Road, Huli District, Xiamen City, Fujian",Xiamen,Fujian,,China,6,250.0,"24.53823, 118.1721",0,2022-09-22,24.53823,118.1721,24.53823,118.1721,2022,9
"Xiamen - Belden Technology Park, China","Baitong Science and Technology Park, Area B, Phase III, Software Park, Jimei District, Xiamen",Xiamen,Fujian,,China,6,250.0,"24.61138, 118.0483",8,2022-09-22,24.61138,118.0483,24.61138,118.0483,2022,9
"Yongzhou - Taigu Hotel, China","Taigu Hotel, No. 288, Xiaoshui Road, Lingling District, Yongzhou City, Hunan",Yongzhou,Hunan,,China,6,250.0,"26.22001594, 111.6169481",134,2022-09-22,26.22001594,111.6169481,26.22001594,111.6169481,2022,9
"Shanghai - Greenland International Education Park, China","B1, Greenland International Education Park, 22 Lane 508, South Huanqing Road, Pudong, Shanghai",Shanghai,Shanghai,,China,6,250.0,"31.22827498, 121.7301799",4,2022-09-22,31.22827498,121.7301799,31.22827498,121.7301799,2022,9
"Zhuhai - Regeneration Times Building, China","Regeneration Times Building, No. 55, Pingbei 2nd Road, Xiangzhou District, Zhuhai City, Guangdong",Zhuhai,Guangdong,,China,6,250.0,"22.22585536, 113.4945777",3,2022-09-09,22.22585536,113.4945777,22.22585536,113.4945777,2022,9
"Anqing - Land Park Hyatt Center, China","B1, Landmark Park Hyatt Center, Duxiu Avenue and Zhenfeng Avenue, Yixiu District, Anqing City, Anhui",Anqing,Anhui,,China,6,250.0,"30.52961186, 117.100539",10,2022-09-22,30.52961186,117.100539,30.52961186,117.100539,2022,9
"Nanjing - Lishui Kaiyuan Mingdu Hotel, China","New Era Kaiyuan Mingdu Hotel, 388 Tianshengqiao Avenue, Lishui District, Nanjing City, Jiangsu",Nanjing,Jiangsu,,China,6,250.0,"31.63558986, 119.04511",17,2022-09-22,31.63558986,119.04511,31.63558986,119.04511,2022,9
"Mohe - Hongjinding Hotel, China","ground parking lot, No. 30 Zhenxing Road, Mohe City, Daxing'anling Region, Heilongjiang",Mohe,Heilongjiang,,China,2,150.0,"52.97510241, 122.5438263",434,2022-09-22,52.97510241,122.5438263,52.97510241,122.5438263,2022,9
"Qiqihar - Hemei International Hotel, China","B1, No. 1 Military Academy Street, Tiefeng District, Qiqihar City, Heilongjiang",Qiqihar,Heilongjiang,,China,2,150.0,"47.34198957, 123.9697915",151,2022-09-22,47.34198957,123.9697915,47.34198957,123.9697915,2022,9
"Harbin - Fangzheng Harbor Hotel, China","No. 9 Wuhua Street, Fangzheng County, Harbin City, Heilongjiang",Harbin,Heilongjiang,,China,2,150.0,"45.85072571, 128.8385752",122,2022-09-22,45.85072571,128.8385752,45.85072571,128.8385752,2022,9
"Lu'an - Commercial Capital, China","Shangzhidu Ground Parking Lot in Jin'an District, Lu'an City, Anhui",Lu'an,Anhui,,China,6,250.0,"31.75685559, 116.4978347",52,2022-09-22,31.75685559,116.4978347,31.75685559,116.4978347,2022,9
"Cangzhou - Wuyue Plaza, China","B1, Wuyue Plaza, Yongan South Avenue and Haihe West Road, Yunhe District, Cangzhou City, Hebei",Harbin,Hebei,,China,9,250.0,"38.2732909, 116.8269818",10,2022-09-22,38.2732909,116.8269818,38.2732909,116.8269818,2022,9
"Hechi - Macau International City-Lavande Hotel, China","No. 97, Jincheng East Road, Jincheng River, Hechi City, Guangxi",Hechi,Guangxi,,China,3,250.0,"24.69368728, 108.0869965",199,2022-09-22,24.69368728,108.0869965,24.69368728,108.0869965,2022,9
"Zhenjiang - Zhaohe Crowne Plaza, China","Crowne Plaza Hotel, No. 27 Changjiang Road, Jingkou District, Zhenjiang City, Jiangsu",Zhenjiang,Jiangsu,,China,6,250.0,"32.21523506, 119.4468301",10,2022-09-22,32.21523506,119.4468301,32.21523506,119.4468301,2022,9
"Huainan - Wuyue Plaza, China","Wuyue Plaza, Xincheng, No. 8 Dongshan Road, Tianjia'an District, Huainan City, Anhui",Huainan,Anhui,,China,6,250.0,"32.62834357, 117.0091379",45,2022-09-22,32.62834357,117.0091379,32.62834357,117.0091379,2022,9
"Chuzhou - Sheraton Ganghui Hotel, China","Sheraton Ganghui Hotel, No. 1599, Zhongdu Road, Nanqiao District, Chuzhou City, Anhui",Chuzhou,Anhui,,China,6,250.0,"32.24164235, 118.331795",23,2022-09-22,32.24164235,118.331795,32.24164235,118.331795,2022,9
"Huaibei - Zhongtai International Plaza, China","Zhongtai International Plaza, No. 202, Renmin Middle Road, Xiangshan District, Huaibei City, Anhui",Huaibei,Anhui,,China,6,250.0,"33.95633764, 116.7954768",32,2022-09-22,33.95633764,116.7954768,33.95633764,116.7954768,2022,9
"Nanchang - High-tech Wuyue Plaza, China","B2, Wuyue Plaza, Aixi North Road, Qingshanhu District, Nanchang City, Jiangxi",Nanchang,Jiangxi,,China,12,250.0,"28.712263, 115.970319",19,2023-04-27,28.712263,115.970319,28.712263,115.970319,2023,4
